order_id,customer_id,amount,date
1,101,120.50,2024-01-01
2,102,75.00,2024-01-02
3,103,200.00,2024-01-02
4,104,-15.00,2024-01-03
5,105,0.00,2024-01-03
6,106,89.90,2024-01-04
7,107,150.00,2024-01-04
8,108,60.00,2024-01-05
9,109,220.40,2024-01-05
10,110,-50.00,2024-01-06
11,111,130.00,2024-01-06
12,112,95.00,2024-01-07
13,113,0.00,2024-01-07
14,114,175.75,2024-01-08
15,115,80.00,2024-01-08
16,116,60.00,2024-01-09
17,117,140.00,2024-01-09
18,118,210.00,2024-01-10
19,119,-10.00,2024-01-10
20,120,55.00,2024-01-11
21,101,99.99,2024-01-11
22,102,130.00,2024-01-12
23,103,0.00,2024-01-12
24,104,160.00,2024-01-13
25,105,180.00,2024-01-13
26,106,-5.00,2024-01-14
27,107,75.00,2024-01-14
28,108,90.00,2024-01-15
29,109,110.00,2024-01-15
30,110,200.00,2024-01-16
31,111,0.00,2024-01-16
32,112,88.00,2024-01-17
33,113,145.00,2024-01-17
34,114,300.00,2024-01-18
35,115,-20.00,2024-01-18
36,116,125.00,2024-01-19
37,117,90.00,2024-01-19
38,118,60.00,2024-01-20
39,119,210.00,2024-01-20
40,120,0.00,2024-01-21
41,121,130.00,2024-01-21
42,122,160.00,2024-01-22
43,123,190.00,2024-01-22
44,124,-30.00,2024-01-23
45,125,75.00,2024-01-23
46,126,0.00,2024-01-24
47,127,140.00,2024-01-24
48,128,220.00,2024-01-25
49,129,85.00,2024-01-25
50,130,95.00,2024-01-26
51,101,180.00,2024-01-26
52,102,-12.00,2024-01-27
53,103,160.00,2024-01-27
54,104,0.00,2024-01-28
55,105,210.00,2024-01-28
56,106,60.00,2024-01-29
57,107,75.00,2024-01-29
58,108,120.00,2024-01-30
59,109,140.00,2024-01-30
60,110,155.00,2024-01-31
